9336,"Polly Put The Kettle On","N/A"
9337,"Polly Wolly Doodle","N/A"
9339,"Power Of God","N/A"
9340,"Praise To God","N/A"
9341,"Prayer","N/A"
9343,"Pretty Girl Milking Her Cow","N/A"
9347,"Private Tommy Atkins","N/A"
9364,"Rally 'round The Flag","N/A"
9376,"Remember Thy Creator","N/A"
9378,"Resignation","N/A"
9379,"Resolution","N/A"
9380,"Retreat Hastings","N/A"
9383,"Rig A Jig","N/A"
9389,"Ring Ring De Banjo","N/A"
9393,"Robin Adair","N/A"
9394,"Rock A Bye Baby","N/A"
9397,"Rock Me To Sleep Mother","N/A"
9399,"Rock Of Ages","N/A"
9400,"Rocked In The Cradle Of The Deep","N/A"
9486,"Sleep And Rest","N/A"
9487,"Sleep Baby Dear","N/A"
9488,"Sleep Beloved Sleep","N/A"
9490,"Sleeping For The Flag","N/A"
9491,"Sleeping I Dream'd Love","N/A"
9495,"Slumber Song","N/A"
9502,"So Early In The Morning","N/A"
9507,"Soft Music Is Stealing","N/A"
9508,"Softly Now The Light Of Day","N/A"
9509,"Softly The Night Is Sleeping","N/A"
9511,"Soldier Song","N/A"
9512,"Soldier's Farewell","N/A"
9514,"Soldier's Tear","N/A"
9513,"Soldiers Chorus","N/A"
9515,"Solomon Levi","N/A"
9516,"Some Day","N/A"
9540,"Song Of The Brook","N/A"
9541,"Song Of The Fowler","N/A"
9542,"Song Of The Sabre","N/A"
9543,"Song Of Thousand Years","N/A"
9545,"Songs My Mother Taught Me","N/A"
9546,"Sons Of Men Behold","N/A"
9553,"Spanish National Song","N/A"
9554,"Spanish Serenade","N/A"
9555,"Sparkling And Bright","N/A"
9556,"Speak To Me","N/A"
9557,"Spring Gentle Spring","N/A"
9559,"St Patrick Was A Gentleman","N/A"
9563,"Star Of The Twilight","N/A"
9566,"Stars Of The Summer Night","N/A"
9567,"Stars Trembling O'er Us","N/A"
9573,"Steadfast Love","N/A"
9574,"Steal Away","N/A"
9576,"Still As The Night","N/A"
9580,"Stonewall Jackson's Requiem","N/A"
9590,"Strangers Yet","N/A"
9591,"Strike The Harp Gently","N/A"
9593,"Study Of A Woman","N/A"
9600,"Summer Days Are Coming","N/A"
9605,"Sun Of My Soul","N/A"
9621,"Sweet Hour Of Prayer","N/A"
9628,"Swiss National Hymn","N/A"
9631,"Take Back The Heart","N/A"
9635,"Take Me Home","N/A"
9641,"Tapping At The Garden Gate","N/A"
9642,"Tarpaulin Jacket","N/A"
9662,"The Banks Of Allan Water","N/A"
9663,"The Blacksmith","N/A"
9664,"The Bloom Is On The Rye","N/A"
9665,"The Blue Bells Of Scotland","N/A"
9666,"The Blue Juniata","N/A"
9667,"The Bluebird","N/A"
9668,"The Bowld Sojer Boy","N/A"
9670,"The Brave Old Oak","N/A"
9671,"The Bridge","N/A"
9672,"The British Grenadiers","N/A"
9673,"The Broken Ring","N/A"
9674,"The Brown Hair'd Maiden","N/A"
9675,"The Campbells Are Coming","N/A"
9676,"The Carrier Dove","N/A"
9678,"The Cow","N/A"
9679,"The Danube River","N/A"
9680,"The Daughters Of Erin","N/A"
9681,"The Dear Little Shamrock","N/A"
9682,"The Dearest Spot","N/A"
9686,"The Dustman","N/A"
9687,"The Dutch Company","N/A"
9690,"The Fairy Ring","N/A"
9691,"The Farewell","N/A"
9692,"The Farmer","N/A"
9695,"The Flowers That Bloom In The Spring","N/A"
9698,"The Girl I Left Behind Me","N/A"
9699,"The Glorious Fourth","N/A"
9700,"The Golden Shore","N/A"
9701,"The Good Rhine Wine","N/A"
9702,"The Goodbye At The Door","N/A"
9705,"The Groves Of Blarney","N/A"
9708,"The Hardy Norseman","N/A"
9709,"The Harp That Once Through Tara's Halls","N/A"
9710,"The Hazel Dell","N/A"
9711,"The Heart Bow'd Down","N/A"
9713,"The Hobby Horse","N/A"
9714,"The Homeland O The Homeland","N/A"
9716,"The Hour Of Parting","N/A"
9717,"The Hour Of Prayer","N/A"
9719,"The Hundred Pipers","N/A"
9722,"The Little Bird","N/A"
9723,"The Little Drummer","N/A"
9724,"The Little Lamb","N/A"
9731,"The Loreley","N/A"
9732,"The Lost Doll","N/A"
9734,"The Mandolin Song","N/A"
9735,"The Maple Leaf Forever","N/A"
9736,"The Marseillaise","N/A"
9740,"The Ninety And Nine","N/A"
9741,"The Old Familiar Place","N/A"
9742,"The Old Sexton","N/A"
9743,"The Old Time","N/A"
9745,"The Palms","N/A"
9746,"The Pilot","N/A"
9748,"The Poor Old Slave","N/A"
9751,"The Red White And Blue","N/A"
9755,"The Roast Beef Of Old England","N/A"
9758,"The Rose","N/A"
9759,"The Sailor's Grave","N/A"
9763,"The Slumber Song","N/A"
9764,"The Son Of God Goes Forth To War","N/A"
9766,"The Spacious Firmament On High","N/A"
9767,"The Squirrel Loves A Pleasant Chase","N/A"
9768,"The Starlight In Thine Eyes","N/A"
9769,"The Sunday School Scholar","N/A"
9770,"The Switzer's Farewell","N/A"
9771,"The Sword Of Bunker Hill","N/A"
9772,"The Three Sailor Boys","N/A"
9773,"The Torpedo And The Whale","N/A"
9774,"The Two Roses","N/A"
9775,"The Tyroleans","N/A"
9777,"The Wild Rose","N/A"
9778,"The Young May Moon","N/A"
9780,"Then You'll Remember Me","N/A"
9781,"There Is Joy In Ev'ry Day","N/A"
9782,"There Is Rest For The Weary","N/A"
9785,"There's Music In The Air","N/A"
9787,"They All Love Jack","N/A"
9788,"Thine Eyes So Blue And Tender","N/A"
9795,"This Old Time Religion","N/A"
9796,"Those Evening Bells","N/A"
9798,"Thou Hast Wounded The Spirit","N/A"
9799,"Three Fihers","N/A"
9800,"Three Little Kitten","N/A"
9805,"Thy Face Is Always Near To Me","N/A"
9806,"Thy Lovely Bright Eyes","N/A"
9807,"Thy Name Was Once The Magic Spell","N/A"
9817,"Tired So Tired","N/A"
9818,"Tis All That I Can Say","N/A"
9819,"Tis Said That Absence Conquers Love","N/A"
9820,"Tit Willow","N/A"
9826,"Tom Big Bee River","N/A"
9833,"Too Late Too Late","N/A"
9838,"Toreador Song","N/A"
9843,"Tourelay","N/A"
