3136,"冬の稲妻","谷村 新司 堀内 孝雄"
3061,"島唄","宮沢 和史"
3451,"東  京","及川 眠子 川上 明彦"
3124,"東京めぐり愛","なかにし 礼 市川 昭介"
3070,"東京砂漠","吉田 旺 内山田 洋"
3155,"桃色吐息","康 珍化 佐藤 隆"
3339,"瞳がほほえむから","岩里 祐穂 上田 知華"
3340,"瞳を閉じて","荒井 由実"
3200,"南国土佐を 後にして","武政 英策"
3311,"難破船","加藤 登紀子"
3343,"二人だけ","大倉 洋一 矢沢 永吉"
3468,"二人でお酒を","山上 路夫 平尾 昌晃"
3344,"二人のパイレ-ツ","松任谷 由実"
3135,"二人の銀座","永 六輔     D・Wilson"
3474,"忍ぶ雨","たきの えいじ 市川　昭介"
3313,"熱視線","松井 五郎 玉置 浩二"
3079,"年 輪","セキネ ケンイチ 原 譲二"
3204,"年上の女","中山 貴美/水沢 たかし 彩木 雅夫"
3322,"能登半島","阿久 悠 三木 たかし"
3475,"白い海峡","池田充男 伊藤雪彦"
3152,"麦 畑","榎戸 若子 補補上田 長政"
3128,"函館本線","たきの えいじ 駒田 良昭"
3275,"彼女と  TIP ON DUO","秋元康 上田知華"
3048,"悲しい色やね","康 珍化 林 哲司　"
3274,"悲しみが とまらない","康珍化 林哲司"
3248,"悲しみは 雪のように","浜田 省吾"
3072,"飛んでイスタンブール","ちあき 哲也 筒美 京平"
3349,"微笑みがえし","阿木 燿子 穂口 雄右"
3134,"氷 雨","とまり れん"
3367,"夫婦坂","星野 哲郎 市川 昭介"
3368,"夫婦舟","荒川 利夫 聖川 湧"
3418,"部屋とYシャツと私","平松 愛理"
3443,"風に吹かれて","森高 千里  斉藤 英夫"
3178,"別れても好きな人","佐々木 勉"
3167,"別れの朝","なかにし 礼 Udo Juergens"
3123,"抱いて・・・","松本 隆 David Foster"
3096,"抱擁","荒川 利夫 山岡 俊弘"
3414,"鳳仙花","吉岡 治 市川 昭介"
3401,"忘れていいの","谷村 新司"
3346,"望郷酒場","里村 龍一 桜田 誠一"
3279,"北のものがたり","吉岡 治 加村 まさはる"
3086,"北の漁場","新條 カオル 桜田 誠一"
3280,"北へ帰ろう","徳久 広司"
3140,"北海盆唄","不詳"
3116,"北空港","やしろ よう 浜 圭介"
3405,"北国の春","いで はく 遠藤 実"
3186,"北酒場","なかにし礼 中村泰士"
3050,"北上夜曲","菊池 規 安藤 睦夫"
3133,"万里の河","飛鳥 涼"
3150,"未来予想図 I I","吉田 美和"
3314,"眠れぬ夜","小田 和正"
3160,"夢の中へ","井上 陽水"
3161,"夢は夜ひらく","中村泰士/富田清吾      曽根幸明"
3378,"夢を あきらめないで","岡村 孝子"
3162,"夢一夜","阿木 耀子 南 こうせつ"
3159,"夢芝居","小椋 佳"
3445,"夢追い酒","星野 栄一 遠藤 実"
3363,"無言坂","市川 睦月 玉置 浩二"
3153,"無錫旅情","中山 大三朗"
3053,"霧の摩周湖","水島 哲 平尾 昌晃"
3016,"命くれない","吉岡 治 北原 じゅん"
3371,"目を閉じて おいでよ","いまみち ともたか"
3426,"夜  空","山口 洋子 平尾 昌晃"
3497,"夜空ノムコウ","スガ シカオ 川村 結花"
3189,"夜霧よ今夜も ありがとう","浜口 庫之助"
3381,"夜明けのスキャット","山上路夫 いずみたく"
3157,"矢切の渡し","石本 美由起 船村 徹"
3375,"夕陽が泣いている","浜口 庫之助"
3182,"与作","七澤 公典"
3379,"揺れる想い","坂井 泉水 織田 哲郎"
3069,"翼の折れたエンジェル","高橋 研"
3068,"翼ををください","山下 路夫 村井 邦彦"
3326,"裸足の女神","稲葉 浩志 松本 孝弘"
3261,"嵐の素顔","三浦徳子 後藤次利"
3310,"涙くんさよなら","浜口 庫之助"
3320,"涙のアベニュ-","桑田 佳祐"
3076,"涙のキッス","桑田 佳祐"
3093,"涙のリクエスト","売野 雅勇 芹澤 廣明"
3482,"涙の海峡","たかたかし 徳久広司"
3077,"涙をふいて","康 珍化 鈴木 キサブロー"
3103,"恋","松山 千春"
3104,"恋におちて (FALL IN LOVE)","湯川 れい子 小林 明子"
3105,"恋のバカンス","岩谷 時子 宮川 泰"
3286,"恋の町札幌","浜口 庫之助"
3108,"恋一夜","松井 五郎 後藤 次利"
3424,"恋人","西尾 佐栄子   松尾 清憲"
3106,"恋人が サンタクロース","松任谷 由実"
3107,"恋人も濡れる街角","桑田 佳祐"
3109,"恋人よ","五輪 真弓"
3099,"浪漫飛行","米米CLUB"
3180,"昴","谷村 新司"
3278,"絆川","高田 ひろお 市川 昭介"
